trip_id,arrival_time,departure_time,stop_id,stop_sequence
T13_A1,06:30:00,06:30:00,CBS,1
T13_A1,06:45:00,06:45:00,HOM,2
T13_A1,07:05:00,07:05:00,TPL,3
T13_A1,07:15:00,07:15:00,NKS,4
T13_A1,08:00:00,08:00:00,CBS,5
T13_A2,09:00:00,09:00:00,CBS,1
T13_A2,09:15:00,09:15:00,HOM,2
T13_A2,09:35:00,09:35:00,TPL,3
T13_A2,09:45:00,09:45:00,NKS,4
T13_A2,10:30:00,10:30:00,CBS,5
T13_A3,11:00:00,11:00:00,CBS,1
T13_A3,11:15:00,11:15:00,HOM,2
T13_A3,11:35:00,11:35:00,TPL,3
T13_A3,11:45:00,11:45:00,NKS,4
T13_A3,12:30:00,12:30:00,CBS,5
T13_A4,13:30:00,13:30:00,CBS,1
T13_A4,13:45:00,13:45:00,HOM,2
T13_A4,14:05:00,14:05:00,TPL,3
T13_A4,14:15:00,14:15:00,NKS,4
T13_A4,15:00:00,15:00:00,CBS,5
T13_A5,16:00:00,16:00:00,CBS,1
T13_A5,16:15:00,16:15:00,HOM,2
T13_A5,16:35:00,16:35:00,TPL,3
T13_A5,16:45:00,16:45:00,NKS,4
T13_A5,17:30:00,17:30:00,CBS,5
